index,TOOL,EVENT_ID,DATE_TIME,TRANSACTION_CODE,NEW_AVAILABLE_CODE,COMMENT,Problem,Actions,Category
88,RIE03     ,0,9/9/2025 16:46,UMCOMP,D,"tool is ready for ME to test and qualify, tool is ready for ME to test and qualify, tool is ready for ME to test and qualify",,Tool prepared and declared ready for ME to test and qualify.,
89,RIE03     ,0,9/10/2025 0:57,UMCOMP,D,"Problem:, RF1 RF/DC Voltage is out of compliance, Act:, recovered wafers IP. Ready to try again, Problem:, RF1 RF/DC Voltage is out of compliance, Act:, recovered wafers IP. Ready to try again, Problem:, RF1 RF/DC Voltage is out of compliance, Act:, recovered wafers IP. Ready to try again",RF1 RF/DC Voltage is out of compliance,Recovered wafers in-process and marked them ready to run again.,RF voltage is out of compliance
90,RIE03     ,0,9/10/2025 8:04,UMCOMP,D,"ADJUSTED STEP 6 ON ALL 3 RECIPES, WITH A DIFFERENT PRESET VALUE, LOAD=44 TUNE=65. RAN 3 TIMES OK., ADJUSTED STEP 6 ON ALL 3 RECIPES, WITH A DIFFERENT PRESET VALUE, LOAD=44 TUNE=65. RAN 3 TIMES OK., ADJUSTED STEP 6 ON ALL 3 RECIPES, WITH A DIFFERENT PRESET VALUE, LOAD=44 TUNE=65. RAN 3 TIMES OK.",,"Adjusted step 6 on all 3 recipes with preset values LOAD=44 and TUNE=65, then ran each recipe 3 times successfully.",
91,RIE03     ,0,9/15/2025 21:27,UMCOMP,D,"Problem:, Material was not detected on the robot, arm prior to a put operation., PRC:, Wafer, Act:, Too used dummy wafer. Dull surface., Verified that the wafer was on the arm, and retried transfer. Transfer made, both put and take., Problem:, Material was not detected on the robot, arm prior to a put operation., PRC:, Wafer, Act:, Too used dummy wafer. Dull surface., Verified that the wafer was on the arm, and retried transfer. Transfer made, both put and take., Problem:, Material was not detected on the robot, arm prior to a put operation., PRC:, Wafer, Act:, Too used dummy wafer. Dull surface., Verified that the wafer was on the arm, and retried transfer. Transfer made, both put and take.","Material was not detected on the robot arm prior to a put operation (wafer, dummy wafer with dull surface).",Verified that the wafer was on the robot arm and retried the transfer; transfer completed successfully for both put and take operations.,Material or wafer was not detected
92,RIE03     ,0,9/25/2025 6:58,UMCOMP,D,"see Yixin comment. tool is ok to run, N2O2 family for now., see Yixin comment. tool is ok to run, N2O2 family for now., see Yixin comment. tool is ok to run, N2O2 family for now.",,Refer to Yixin's comment; confirm tool is ok to run for N2O2 family for now.,
93,RIE03     ,0,9/28/2025 13:54,UMCOMP,D,"Problem:, Slim Etch rate low, Action:, Engineer change RF1/ICP Go On Delay, from 5000ms to 2000ms., Problem:, Slim Etch rate low, Action:, Engineer change RF1/ICP Go On Delay, from 5000ms to 2000ms., Problem:, Slim Etch rate low, Action:, Engineer change RF1/ICP Go On Delay, from 5000ms to 2000ms.",Slim Etch rate low,Engineer changed RF1/ICP Go On Delay from 5000ms to 2000ms (repeated three times).,Etch Rate issues
94,RIE03     ,0,10/6/2025 15:01,UMCOMP,D,"RF1 FR/DC voltage is out of compliance., setpoint=70.0+/-40.0, actual=0.7V., WAFER 1 (DUMMY) = ALARM, WAFER 2-12      = STILL IN CASSETT,                   NOT PROCESSED YET.,           =====================, Recipe PMR-MIX2, PP3_ASH_6W_7M, MPL1024, plasma strike no problem., As per EE, Do no use recipe TMR-FLTR-RIE, Chamber is back to production., RF1 FR/DC voltage is out of compliance., setpoint=70.0+/-40.0, actual=0.7V., WAFER 1 (DUMMY) = ALARM, WAFER 2-12      = STILL IN CASSETT,                   NOT PROCESSED YET.,           =====================, Recipe PMR-MIX2, PP3_ASH_6W_7M, MPL1024, plasma strike no problem., As per EE, Do no use recipe TMR-FLTR-RIE, Chamber is back to production., RF1 FR/DC voltage is out of compliance., setpoint=70.0+/-40.0, actual=0.7V., WAFER 1 (DUMMY) = ALARM, WAFER 2-12      = STILL IN CASSETT,                   NOT PROCESSED YET.,           =====================, Recipe PMR-MIX2, PP3_ASH_6W_7M, MPL1024, plasma strike no problem., As per EE, Do no use recipe TMR-FLTR-RIE, Chamber is back to production.","RF1 FR/DC voltage is out of compliance: setpoint=70.0+/-40.0, actual=0.7V; WAFER 1 (DUMMY) triggered ALARM while wafers 2-12 remained in cassette and were not processed.","Used recipe PMR-MIX2 (PP3_ASH_6W_7M, MPL1024); confirmed plasma strike has no problem; followed EE instruction to not use recipe TMR-FLTR-RIE; returned chamber back to production.",RF voltage is out of compliance
95,RIE03     ,0,10/8/2025 13:58,UMCOMP,D,"Problem:, RF1 RF/DC voltage is out of compliance, Setpoint=70.0+/- 40.0, actual=0.7V, Slot1 Dummy inside the chamber, Slot2-10 @LL. Process not started, Rcp:N202_XXXSCCM_115S/ RUN# AQ, Pls chk, Cause:, RF1 Load/Tune needs adjustment., Action:, Change RF1 L/T to 85/60. Complete test, run with recipe N2O2-XXX-115S and TMR, w/o any issue., Back to qualify., Problem:, RF1 RF/DC voltage is out of compliance, Setpoint=70.0+/- 40.0, actual=0.7V, Slot1 Dummy inside the chamber, Slot2-10 @LL. Process not started, Rcp:N202_XXXSCCM_115S/ RUN# AQ, Pls chk, Cause:, RF1 Load/Tune needs adjustment., Action:, Change RF1 L/T to 85/60. Complete test, run with recipe N2O2-XXX-115S and TMR, w/o any issue., Back to qualify., Problem:, RF1 RF/DC voltage is out of compliance, Setpoint=70.0+/- 40.0, actual=0.7V, Slot1 Dummy inside the chamber, Slot2-10 @LL. Process not started, Rcp:N202_XXXSCCM_115S/ RUN# AQ, Pls chk, Cause:, RF1 Load/Tune needs adjustment., Action:, Change RF1 L/T to 85/60. Complete test, run with recipe N2O2-XXX-115S and TMR, w/o any issue., Back to qualify.","RF1 RF/DC voltage out of compliance (setpoint 70.0±40.0 V, actual 0.7 V); process not started with Slot1 dummy in chamber and Slots 2-10 at LL on recipe N202_XXXSCCM_115S/RUN# AQ.",Identified cause as RF1 Load/Tune needing adjustment; changed RF1 L/T settings to 85/60; completed test run with recipe N2O2-XXX-115S and TMR without issues; returned tool to qualify status.,RF voltage is out of compliance
96,RIE03     ,0,10/9/2025 11:44,UMCOMP,D,"Problem:, Tool alarm for Poor quality chuck seal., Helium flow = 5.32 sccm,limit is 5.00, Right Cassette (RIE03) TOOL RUN# AG, Action:, Ran 2 dummy wafers without issues., Problem:, Tool alarm for Poor quality chuck seal., Helium flow = 5.32 sccm,limit is 5.00, Right Cassette (RIE03) TOOL RUN# AG, Action:, Ran 2 dummy wafers without issues., Problem:, Tool alarm for Poor quality chuck seal., Helium flow = 5.32 sccm,limit is 5.00, Right Cassette (RIE03) TOOL RUN# AG, Action:, Ran 2 dummy wafers without issues.",Tool alarm for poor quality chuck seal; helium flow at 5.32 sccm exceeding 5.00 sccm limit on Right Cassette (RIE03) TOOL RUN# AG.,Ran 2 dummy wafers without issues (repeated three times).,Chuck seal issues
97,RIE03     ,0,10/9/2025 16:33,UMCOMP,D,"working on the recipe with Yixin., tool is back to production, working on the recipe with Yixin., tool is back to production, working on the recipe with Yixin., tool is back to production",,Working on the recipe with Yixin; tool returned to production status.,
98,RIE03     ,0,10/10/2025 21:48,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue (RTP),
99,RIE03     ,0,10/11/2025 0:58,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue (RTP) repeatedly.,
100,RIE03     ,0,10/12/2025 16:16,UMCOMP,D,"of compliance.Set point= 70.0 +/-40.0,, ActuL= 0.7 V.JOB: ""AV"",STEP:8 PROCESS, STEP @ 0:45.0, Action:, Performed test run with 4 recipe and, the result:, MPL1024               OK, N2O2-XXXsccm-115s     Failed, TMR-FLTR-RIE          Failed, PMR-MIX2              OK, For now only run MPL1024 and PMR-MIX2, the other two recipe will address the, the issue with EE., Problem:, tool alarm.RF1 RF/DC voltage is out, of compliance.Set point= 70.0 +/-40.0,, ActuL= 0.7 V.JOB: ""AV"",STEP:8 PROCESS, STEP @ 0:45.0, Action:, Performed test run with 4 recipe and, the result:, MPL1024               OK, N2O2-XXXsccm-115s     Failed, TMR-FLTR-RIE          Failed, PMR-MIX2              OK, For now only run MPL1024 and PMR-MIX2, the other two recipe will address the, the issue with EE., Problem:, tool alarm.RF1 RF/DC voltage is out, of compliance.Set point= 70.0 +/-40.0,, ActuL= 0.7 V.JOB: ""AV"",STEP:8 PROCESS, STEP @ 0:45.0, Action:, Performed test run with 4 recipe and, the result:, MPL1024               OK, N2O2-XXXsccm-115s     Failed, TMR-FLTR-RIE          Failed, PMR-MIX2              OK, For now only run MPL1024 and PMR-MIX2, the other two recipe will address the, the issue with EE., Problem:, tool alarm.RF1 RF/DC voltage is out","Tool alarm: RF1 RF/DC voltage is out of compliance. Set point = 70.0 +/- 40.0, Actual = 0.7 V on JOB ""AV"", STEP 8 PROCESS, STEP @ 0:45.0.","Performed test run with 4 recipes: MPL1024 OK, N2O2-XXXsccm-115s Failed, TMR-FLTR-RIE Failed, PMR-MIX2 OK. Decided to run only MPL1024 and PMR-MIX2 for now; the other two recipes will be addressed with EE.",RF voltage is out of compliance
101,RIE03     ,0,10/14/2025 19:41,UMCOMP,D,"Problem:, ALARM: RF1 RF/DC voltage is out of comp, liance, PRC:, recipe, Act:, Recovered wafer ip. ran 2 dummies, same, N202_100S recipe with no issues........, Problem:, ALARM: RF1 RF/DC voltage is out of comp, liance, PRC:, recipe, Act:, Recovered wafer ip. ran 2 dummies, same, N202_100S recipe with no issues........, Problem:, ALARM: RF1 RF/DC voltage is out of comp, liance, PRC:, recipe, Act:, Recovered wafer ip. ran 2 dummies, same, N202_100S recipe with no issues........",ALARM: RF1 RF/DC voltage is out of compliance during recipe run,Recovered wafer in process; ran 2 dummy wafers on same N202_100S recipe with no issues (repeated for each occurrence),RF voltage is out of compliance
102,RIE03     ,0,10/14/2025 23:47,UMCOMP,D,"Problem:, Alarm:RF1 RF/DC voltage is out of compli, -ance. Setpoint=70.0+/-40.0, Actual=27.8, PRC:, recipe, Act:, Ran 2 dummies. Each had the same alarm, with bias running at 27. Cannot run, this recipe at this time, Problem:, Alarm:RF1 RF/DC voltage is out of compli, -ance. Setpoint=70.0+/-40.0, Actual=27.8, PRC:, recipe, Act:, Ran 2 dummies. Each had the same alarm, with bias running at 27. Cannot run, this recipe at this time, Problem:, Alarm:RF1 RF/DC voltage is out of compli, -ance. Setpoint=70.0+/-40.0, Actual=27.8, PRC:, recipe, Act:, Ran 2 dummies. Each had the same alarm, with bias running at 27. Cannot run, this recipe at this time","Alarm: RF1 RF/DC voltage is out of compliance. Setpoint=70.0+/-40.0, Actual=27.8; bias running at 27; cannot run this recipe at this time.",Ran 2 dummy wafers; each run produced the same RF1 RF/DC voltage out-of-compliance alarm with bias at 27.,RF voltage is out of compliance
103,RIE03     ,0,10/16/2025 10:08,UMCOMP,D,"TOOL IS BACK FOR NON-N2O2 AND TMR, DO NOT RUN N2O2 AND TMR, TOOL IS BACK FOR NON-N2O2 AND TMR, DO NOT RUN N2O2 AND TMR, TOOL IS BACK FOR NON-N2O2 AND TMR, DO NOT RUN N2O2 AND TMR",Tool is not available for N2O2 and TMR processes,Tool released for non-N2O2 and non-TMR; N2O2 and TMR must not be run,Recipe issues
104,RIE03     ,0,10/16/2025 18:33,UMCOMP,D,"Problem:, Failing etch rate., PRC:, needed conditioning, Act:, qual passed........................., Problem:, Failing etch rate., PRC:, needed conditioning, Act:, qual passed........................., Problem:, Failing etch rate., PRC:, needed conditioning, Act:, qual passed.........................",Failing etch rate,Conditioning performed on PRC; qual passed,Etch Rate issues
105,RIE03     ,0,10/18/2025 5:48,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue. RTP.,
106,RIE03     ,0,10/18/2025 19:50,UMCOMP,D,"Reseted RF. Test run completed w/o any, issue. RTP., Reseted RF. Test run completed w/o any, issue. RTP., Reseted RF. Test run completed w/o any, issue. RTP.",,"Reseted RF; Performed test run; Confirmed test run completed without any issue (RTP), repeated multiple times",
107,RIE03     ,0,10/19/2025 16:09,UMCOMP,D,"Problem:, ALARM: RF1 RF/DC voltage is out of, compliance., Action:, Abort process, performed testrun without, issue., RTP, Problem:, ALARM: RF1 RF/DC voltage is out of, compliance., Action:, Abort process, performed testrun without, issue., RTP, Problem:, ALARM: RF1 RF/DC voltage is out of, compliance., Action:, Abort process, performed testrun without, issue., RTP",ALARM: RF1 RF/DC voltage is out of compliance.,Aborted process; performed testrun without issue; RTP.,RF voltage is out of compliance
108,RIE03     ,0,10/20/2025 4:31,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue (RTP),
109,RIE03     ,0,10/20/2025 19:35,UMCOMP,D,"PROBLEM:, RF1 / DC VOLTAGE is out of compliance, PRC:, Recipe, Act:, PMR-MIX2. reovered wafers ip. Ran 2, dummies with no issues..............., PROBLEM:, RF1 / DC VOLTAGE is out of compliance, PRC:, Recipe, Act:, PMR-MIX2. reovered wafers ip. Ran 2, dummies with no issues..............., PROBLEM:, RF1 / DC VOLTAGE is out of compliance, PRC:, Recipe, Act:, PMR-MIX2. reovered wafers ip. Ran 2, dummies with no issues...............",RF1 / DC VOLTAGE is out of compliance,Used PMR-MIX2 recipe; recovered wafers in process; ran 2 dummy wafers with no issues (repeated for each occurrence).,RF voltage is out of compliance
110,RIE03     ,0,10/21/2025 14:19,UMCOMP,D,"~PROB: RF1 out of compliance., ~ACT: Aborted process & recovered wafer,  back into cassette for OP to unload., ~Centered TUNE & LOAD, run some test,  without any issue., ________________________________________, ~PROB: RF1 out of compliance., ~ACT: Aborted process & recovered wafer,  back into cassette for OP to unload., ~Centered TUNE & LOAD, run some test,  without any issue., ________________________________________, ~PROB: RF1 out of compliance., ~ACT: Aborted process & recovered wafer,  back into cassette for OP to unload., ~Centered TUNE & LOAD, run some test,  without any issue., ________________________________________",RF1 out of compliance.,Aborted process and recovered wafer back into cassette for operator to unload; centered TUNE & LOAD; ran tests without any issue.,RF voltage is out of compliance
111,RIE03     ,0,10/21/2025 21:46,UMCOMP,D,"Problem:, RF1 RF/CD voltage is out of compliance., PRC:, Unknown, Act:, recoverd wafers IP. Ran 2 dummies with, same recipe PMR-MIX2 with no issues, Problem:, RF1 RF/CD voltage is out of compliance., PRC:, Unknown, Act:, recoverd wafers IP. Ran 2 dummies with, same recipe PMR-MIX2 with no issues, Problem:, RF1 RF/CD voltage is out of compliance., PRC:, Unknown, Act:, recoverd wafers IP. Ran 2 dummies with, same recipe PMR-MIX2 with no issues",RF1 RF/CD voltage is out of compliance,Recovered wafers in process. Ran 2 dummy wafers with same recipe PMR-MIX2 with no issues.,RF voltage is out of compliance
112,RIE03     ,0,10/22/2025 5:26,UMCOMP,D,"Problem:, RF1 RF/DC voltage is out of compliance, PRC:, Unknown, Act:, recovered wafers IP. ran 2 dummies,, recipe PMR-MIX2 with no issues.........., Problem:, RF1 RF/DC voltage is out of compliance, PRC:, Unknown, Act:, recovered wafers IP. ran 2 dummies,, recipe PMR-MIX2 with no issues.........., Problem:, RF1 RF/DC voltage is out of compliance, PRC:, Unknown, Act:, recovered wafers IP. ran 2 dummies,, recipe PMR-MIX2 with no issues..........",RF1 RF/DC voltage is out of compliance,"Recovered wafers in process, ran 2 dummy wafers using recipe PMR-MIX2 with no issues",RF voltage is out of compliance
113,RIE03     ,0,10/22/2025 17:12,UMCOMP,D,"PROBLEM:, RF1 RF/DC VOLTAGE is out of compliance, PRC: YCN CHANGED RF1 LOAD AND TUNE, ACTION: STOPPED PROCESS, RETURNED WFRS, OPERATOR UNLOADED. RTP., PROBLEM:, RF1 RF/DC VOLTAGE is out of compliance, PRC: YCN CHANGED RF1 LOAD AND TUNE, ACTION: STOPPED PROCESS, RETURNED WFRS, OPERATOR UNLOADED. RTP., PROBLEM:, RF1 RF/DC VOLTAGE is out of compliance, PRC: YCN CHANGED RF1 LOAD AND TUNE, ACTION: STOPPED PROCESS, RETURNED WFRS, OPERATOR UNLOADED. RTP.",RF1 RF/DC VOLTAGE is out of compliance,YCN changed RF1 load and tune; stopped process; returned wafers; operator unloaded RTP,RF voltage is out of compliance
114,RIE03     ,0,10/23/2025 6:50,UMCOMP,D,"edit recipe N2O2_100S_15-250 the step8, put both RF into auto it was in man-auto, ran 3 times okay. ready for qual. von, edit recipe N2O2_100S_15-250 the step8, put both RF into auto it was in man-auto, ran 3 times okay. ready for qual. von, edit recipe N2O2_100S_15-250 the step8, put both RF into auto it was in man-auto, ran 3 times okay. ready for qual. von",Step8 of recipe N2O2_100S_15-250 had both RFs set to man-auto instead of auto.,Edited recipe N2O2_100S_15-250 at step8 to set both RFs to auto from man-auto; ran the recipe three times successfully; declared tool ready for qualification.,
115,RIE03     ,0,10/23/2025 21:23,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issues.,
116,RIE03     ,0,10/24/2025 15:54,UMCOMP,D,"Problem:, Chamber was leak at lift bellow., Action:, Replaced Lift Bellow and Linear slide., Performed chamber burn-in and function, test., Need to run full Quals., Problem:, Chamber was leak at lift bellow., Action:, Replaced Lift Bellow and Linear slide., Performed chamber burn-in and function, test., Need to run full Quals., Problem:, Chamber was leak at lift bellow., Action:, Replaced Lift Bellow and Linear slide., Performed chamber burn-in and function, test., Need to run full Quals.",Chamber was leaking at lift bellow.,Replaced lift bellow and linear slide. Performed chamber burn-in and function test. Need to run full quals.,Others
117,RIE03     ,0,10/25/2025 7:30,UMCOMP,D,"Problem:, Slim Qual etch rate low., Action:, Ran PR wafers for conditioning., Ready for Quals., Problem:, Slim Qual etch rate low., Action:, Ran PR wafers for conditioning., Ready for Quals., Problem:, Slim Qual etch rate low., Action:, Ran PR wafers for conditioning., Ready for Quals.",Slim Qual etch rate low.,Ran PR wafers for conditioning. Ready for Quals.,Etch Rate issues
118,RIE03     ,0,10/25/2025 21:51,UMCOMP,D,"ran 2 dummies on same recipe as alarm, with no issues. RTP, ran 2 dummies on same recipe as alarm, with no issues. RTP, ran 2 dummies on same recipe as alarm, with no issues. RTP",Alarm occurred on a specific recipe (details not provided).,Ran 2 dummy runs on the same recipe as the alarm in RTP with no issues; repeated this process multiple times.,
119,RIE03     ,0,10/26/2025 5:04,UMCOMP,D,"process complete. no problems. RTP, process complete. no problems. RTP, process complete. no problems. RTP",,Process complete. No problems. RTP (repeated three times).,
120,RIE03     ,0,10/27/2025 0:00,UMCOMP,D,"stopped process & unloaded wafers. ran a, dummy on same recipe as alarm with no, problems.  RTP, stopped process & unloaded wafers. ran a, dummy on same recipe as alarm with no, problems.  RTP, stopped process & unloaded wafers. ran a, dummy on same recipe as alarm with no, problems.  RTP",Process alarm occurred on RTP tool,"Stopped process and unloaded wafers; ran a dummy run on the same recipe as the alarm, with no problems; repeated stop, unload, and dummy run sequence on RTP",
121,RIE03     ,0,10/28/2025 3:05,UMCOMP,D,"Problem:, RF1 RF/DC voltage is out of compliance., PRC:, Unknown, act:, rrecovered the wafers IP. Ran 2 dummies, PMR-MIX2 with no further issues, Problem:, RF1 RF/DC voltage is out of compliance., PRC:, Unknown, act:, rrecovered the wafers IP. Ran 2 dummies, PMR-MIX2 with no further issues, Problem:, RF1 RF/DC voltage is out of compliance., PRC:, Unknown, act:, rrecovered the wafers IP. Ran 2 dummies, PMR-MIX2 with no further issues",RF1 RF/DC voltage is out of compliance.,Recovered the wafers in-process. Ran 2 dummy wafers on PMR-MIX2 with no further issues.,RF voltage is out of compliance
122,RIE03     ,0,10/28/2025 8:05,UMCOMP,D,"RAN 3 DUMMY WAFERS OK.BACK TO PROD, RAN 3 DUMMY WAFERS OK.BACK TO PROD, RAN 3 DUMMY WAFERS OK.BACK TO PROD",,"Ran 3 dummy wafers successfully, returned to production; repeated sequence of running 3 dummy wafers successfully and returning to production multiple times.",
123,RIE03     ,0,10/28/2025 11:49,UMCOMP,D,"CHANGED THE STEP 6 FROM MAN-AUTO TO, AUTO ON RECIPE TMR AND ETCHRATE., RAN 3 TIMES EACH OK. VON/SUNNY, CHANGED THE STEP 6 FROM MAN-AUTO TO, AUTO ON RECIPE TMR AND ETCHRATE., RAN 3 TIMES EACH OK. VON/SUNNY, CHANGED THE STEP 6 FROM MAN-AUTO TO, AUTO ON RECIPE TMR AND ETCHRATE., RAN 3 TIMES EACH OK. VON/SUNNY",,"Changed step 6 from MAN-AUTO to AUTO on recipe TMR and ETCHRATE; ran the recipe 3 times on each, all runs OK.",
124,RIE03     ,0,10/29/2025 13:13,UMCOMP,D,"adjusted the ICP delay from 5000 ms, to 2000ms as per ok from Yixin., please run another slimt etch qual. as p, per Yixin., adjusted the ICP delay from 5000 ms, to 2000ms as per ok from Yixin., please run another slimt etch qual. as p, per Yixin., adjusted the ICP delay from 5000 ms, to 2000ms as per ok from Yixin., please run another slimt etch qual. as p, per Yixin.",,Adjusted the ICP delay from 5000 ms to 2000 ms as approved by Yixin; requested to run another SLIMT etch qualification per Yixin.,
125,RIE03     ,0,10/29/2025 19:38,UMCOMP,D,"Reseted RF generator, running 2 dummies, w/o any issue. RTP., Reseted RF generator, running 2 dummies, w/o any issue. RTP., Reseted RF generator, running 2 dummies, w/o any issue. RTP.",,"Reseted RF generator and ran 2 dummy runs without any issue, repeated three times; RTP.",
126,RIE03     ,0,10/30/2025 9:16,UMCOMP,D,"Problem:, RF1 RF / DC voltage is out of compliance, PRC: Unknown., Action: Testrun is completed without any, further issues. RTP., Aborted process, returned wafers to LL, and operator unloaded.  Ran testrun., Problem:, RF1 RF / DC voltage is out of compliance, PRC: Unknown., Action: Testrun is completed without any, further issues. RTP., Aborted process, returned wafers to LL, and operator unloaded.  Ran testrun., Problem:, RF1 RF / DC voltage is out of compliance, PRC: Unknown., Action: Testrun is completed without any, further issues. RTP., Aborted process, returned wafers to LL, and operator unloaded.  Ran testrun.","RF1 RF / DC voltage is out of compliance, PRC: Unknown.","Aborted process, returned wafers to LL, operator unloaded wafers, then ran testrun; testrun completed without further issues (RTP).",RF voltage is out of compliance
127,RIE03     ,0,10/30/2025 21:15,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issue (RTP),
128,RIE03     ,0,10/31/2025 2:42,UMCOMP,D,"Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP., Test run completed w/o any issue. RTP.",,Test run completed without any issues (RTP).,
129,RIE03     ,0,10/31/2025 5:50,UMCOMP,D,"Test run completed w/o issue. RTP., Test run completed w/o issue. RTP., Test run completed w/o issue. RTP.",,Test run completed without issue. RTP.,
130,RIE03     ,0,10/31/2025 13:15,UMCOMP,D,"verified all the recipes for SA is ok, we ran one dummy ok. Thinh/Von, verified all the recipes for SA is ok, we ran one dummy ok. Thinh/Von, verified all the recipes for SA is ok, we ran one dummy ok. Thinh/Von",,Verified all the recipes for SA are OK and ran one dummy successfully; confirmation repeated by Thinh/Von.,
131,RIE03     ,0,10/31/2025 23:47,UMCOMP,D,"Recovered wafer back to LL. RTP., Recovered wafer back to LL. RTP., Recovered wafer back to LL. RTP.",,Recovered wafer back to LL. RTP. (repeated multiple times),
132,RIE03     ,0,11/1/2025 17:11,UMCOMP,D,"Problem:, tool alarm.RF1 RF/DC voltage is out of, compliance.Setpoint=95.0 +/-40.0, Actual= 54.0 V, Action:, Abort process, returned wafer to LM and, performed testrun without issue., Problem:, tool alarm.RF1 RF/DC voltage is out of, compliance.Setpoint=95.0 +/-40.0, Actual= 54.0 V, Action:, Abort process, returned wafer to LM and, performed testrun without issue., Problem:, tool alarm.RF1 RF/DC voltage is out of, compliance.Setpoint=95.0 +/-40.0, Actual= 54.0 V, Action:, Abort process, returned wafer to LM and, performed testrun without issue.","Tool alarm: RF1 RF/DC voltage is out of compliance. Setpoint=95.0 +/-40.0, Actual=54.0 V.","Aborted process, returned wafer to LM, performed test run without issue.",RF voltage is out of compliance
133,RIE03     ,0,11/2/2025 3:25,UMCOMP,D,"Recoverd waferbacl to LL. RTP., Recoverd waferbacl to LL. RTP., Recoverd waferbacl to LL. RTP.",,Recovered wafer back to LL. RTP.,
134,RIE03     ,0,11/2/2025 13:13,UMCOMP,D,"PROBLEM:, Tool got an alarm.Poor quality chuck, seal Helium flow=5.16 sccm,limit is, 5.00., PRC: unkown, action: Testrun is completed without, any issue. RTP, ABORTED PROCESS, RETURNED WAFERS TO LL., OPERATOR UNLOADED. RUNNING TWO ALTIC, DUMMIES TO VERIFY THE ISSUE.  RTP., PROBLEM:, Tool got an alarm.Poor quality chuck, seal Helium flow=5.16 sccm,limit is, 5.00., PRC: unkown, action: Testrun is completed without, any issue. RTP, ABORTED PROCESS, RETURNED WAFERS TO LL., OPERATOR UNLOADED. RUNNING TWO ALTIC, DUMMIES TO VERIFY THE ISSUE.  RTP., PROBLEM:, Tool got an alarm.Poor quality chuck, seal Helium flow=5.16 sccm,limit is, 5.00., PRC: unkown, action: Testrun is completed without, any issue. RTP, ABORTED PROCESS, RETURNED WAFERS TO LL., OPERATOR UNLOADED. RUNNING TWO ALTIC, DUMMIES TO VERIFY THE ISSUE.  RTP.","Tool alarm: poor quality chuck seal, Helium flow = 5.16 sccm (limit 5.00 sccm); RTP aborted process and returned wafers to loadlock; wafers unloaded by operator.","Performed testrun, which completed without issues. Ran two ALTIC dummy wafers to verify the issue.",Chuck seal issues
135,RIE03     ,0,11/2/2025 16:46,UMCOMP,D,"Problem:, Tool alarm (again).RF1 RF/DC voltage, is out of compliance.Setpoint= 95.0, +/- 40.0,Actual = 53.2 V., PRC: Unkown., Action: The test run is completed no, issue. RTP., Problem:, Tool alarm (again).RF1 RF/DC voltage, is out of compliance.Setpoint= 95.0, +/- 40.0,Actual = 53.2 V., PRC: Unkown., Action: The test run is completed no, issue. RTP., Problem:, Tool alarm (again).RF1 RF/DC voltage, is out of compliance.Setpoint= 95.0, +/- 40.0,Actual = 53.2 V., PRC: Unkown., Action: The test run is completed no, issue. RTP.","Tool alarm: RF1 RF/DC voltage out of compliance (Setpoint=95.0 +/- 40.0, Actual=53.2 V). PRC: Unknown.",Test run completed; no issue found. RTP.,RF voltage is out of compliance
136,RIE03     ,0,11/3/2025 0:49,UMCOMP,D,"Recovered wafer back to LL. RTP., Recovered wafer back to LL. RTP., Recovered wafer back to LL. RTP.",,Recovered wafer back to LL. RTP. (action repeated three times),
137,RIE03     ,0,11/3/2025 12:59,UMCOMP,D,"HAVE TO PUT PRESET ON STEP 6, RAN TEST OK ON TMR RECIPES., HAVE TO PUT PRESET ON STEP 6, RAN TEST OK ON TMR RECIPES., HAVE TO PUT PRESET ON STEP 6, RAN TEST OK ON TMR RECIPES.",Preset not set on step 6 for TMR recipes,Put preset on step 6 and ran test on TMR recipes; test ran OK,
138,RIE03     ,0,11/3/2025 17:17,UMCOMP,D,"CHANGED LOAD PRESET TO 80., COMPLETED 2 DUMMY WAFERS OK., TOOL IS GOOD FOR TMR., CHANGED LOAD PRESET TO 80., COMPLETED 2 DUMMY WAFERS OK., TOOL IS GOOD FOR TMR., CHANGED LOAD PRESET TO 80., COMPLETED 2 DUMMY WAFERS OK., TOOL IS GOOD FOR TMR.",,Changed load preset to 80; completed 2 dummy wafers OK; verified tool is good for TMR (repeated sequence).,
